riamisayangfarhan,"Login tuh pake nik KTP. Dong bro , pake no tlp GK bisa nih ane"
nanad6668,Punya ku bukan sertifikat yang hilang..tapi tiket buat booster nya Hilang..Gimana ini
rahulmaidifarma,Kapan sih cs bot wa ini bisa layanin
rendybsundoro,"saya sudah donlot.. tdk muncul di gallery.. setelah hp sy konek dgn laptop, rupanya format sertifikatnya adalah pdf, bukan jpeg, shg pantes ga muncul di gallery.. warna sertifikatnya dasar putih, list di atas warna biru.. tdk sama dgn warna sertifikat di aplikasi (warna merah muda/pink)"
muhepyhardiansyah,Admin mohon di bls comentar saya..mohon maaf sebelumnya.saya semenjak di update apk peduli lindungi yang sekarang.saya ga bisa masuk.itu kenapa ya.saya waktu belom di update bisa masuk apk nya.mohon beri penjelasan.terima kasih
mjf_niki,"pelayanan lemot...mau ganti nomor karena gabisa login 2minggu ga selesai"" 🐶🐶🐶"
keselek_tupperware,Kalo memang belum siap migrasi seluruh data jangan langsung di update supaya orang2 update aplikasi pe'a bener
hannah.aish_nuwaira,"Awal di update juga gtu mau login suruh registrasi. Giliran registrasi ktanya sudah punya akun, gtu aja terus. Di coba terus menerus pantang menyerah😂 akhirnya bisa juga login."
johan_suhadi,"Ga bisa login ke aplikasi ini, krn otp ga masuk masuk. Sudah berkali minta kirim ulang  tapi ga masuk masuk"
mariana_sansan,"Sertifikat vaksin 1,2 dan booster 1 hilang 😱 Tiket booster 2 jg lenyap stlh mjd Satusehat 😑😑😑"
ahyaani2_,APLIKASI PEDULI LINDUNGI GAK BISA MASUK DAN GAK BISA DI AKSES KENAPA YAAA ADMIN??? @pedulilindungi.id 😢😢
lupiyan67,Saya hudah vaksin boster pertama dan gek muncul saya coba hubungi via wa gek ada jawaban mohon maaf
santoso.perry,Malah gk bisa login @pedulilindungi.id karna nomor yg terdaftar sudah tidak di gunakan lagi .mau login pake email & no handphone baru gk bisa .di arahin daftar kembali tetap gk bisa karna no KTP sudah terdaftar di nomor hp yg lama
pontiophon,"Tetep aja ga bisa login.. kode otp gak dikirim ampe skrg berulang kali cb.. pengaduan jg percuma gak ada respon via email no reply, via wa udh suruh nunggu lama eh lempar ke email lg.."
wahyuedowidyanto,Sudah vaksin ke 3 tapi sampai sekarang belum keluar sertifikat nya...
puspitasari747,gak bisa log in 😭😭😭😭😭
ahmad_andrea.925,Maaf admin saya sudah di vaksin boster pas 1 Maret skrng udh 5 hari kenapa sertifikat vaksin nya blm keluar di aplikasi satu sehat. Saya sangat membutuhkan sertifikat itu buat penerbangan Minggu depan.
faisaladhiatma_,"Min saya login pake nomer hp saya kok yg keluar data anak saya aja ya, data saya malah ga ada"
pinokio_xlptk,"Aplikasimu nge bug bosque, tidak bisa dipakai dimenu selanjutnya. Setelah di update tidak bs dipake sama sekali. Sy pake samsung galaxy A51."
aldrirmdhn,"peralihan tu harusnya dari jauh jauh hari disiapin nya, ribetttt pade ribet"
gustafbone,"Setelah diinstal bisa dipakai, login menggunakan email.. setelah itu setiap buka aplikasi hanya sampai halaman logo, tidak bisa diakses sama sekali!!"
kangtjoek,Kenapa kok jadi memersulit kita ya @pedulilindungi.id ?
amien_al_faqih,"Jika belum siap untuk transisi ke aplikasi baru.....jangan buat masyarakat bingung,dan sosialisasi dulu seharusnya,..... bagaimana sih ini @kemenkes_ri @@pusdatinkemkes @dtokemkes ..... masyarakat kita sebetulnya belum siap untuk lari ke arah zaman digital, karena minim nya pengetahuan dan informasi."
verendefretes,Apk ga berguna ga bisa masuk dri kemarin
sat_strwb,"Aplikasi cacat, gak bisa masuk masuk, udah WA, email, gak ada tindak lanjut & solusi."
syifaummuhilya,Min. Kakekku thn lahir 1941. Tp diaplikasi hanya sampai 1945. Sudah hubungi wa satusehat. Tp tidak dapat penanganan. Bagaimana solusinya??
amien_al_faqih,@kemenkes_ri @pusdatinkemkes @dtokemkes ....mohon di percepat pemulihan aplikasi #SATUSEHAT nya dan pelayanan customer servicenya nya . Jangan buat masyarakat tambah bingung dan kecewa
haurgeuliscenterstore,"GANTI AJA NAMANYA JADI, SITU SEHAT?"
sugiarto19,"@pedulilindungi.id... Saya sudah download sertifikat vaksin (1,2 & booster pertama) di aplikasi SS, hasil download an dimana ya, saya koq ga nemu-nemu..."
andrydwi0,Selamat malam kak saya mau tanya ini saya mau login ke aplikasi satusehat ngk bisa dikarekan no hp sudah hangus kak ?adakah solusi kak untuk bisa login kembali kare buat kepintingan kerja watu masuk perusahaan harus check in mengunakan aplikasi satusehat?
iraonees,Satusehat Saya malahan tidak bisa login sama sekali ngebleng begitu saja tidak ada perintah atau petunjuk  dari aplikasinya
umiesargi,"Data tanggal lahir salah @pedulilindungi.id, sementara saya perlu diperbaiki datanya untuk penerbangan ke australia tgl 15 maret. Hotel, pesawat udah dibooked. Gimana ini? Ga bisa terbang dan semua rencana saya terancam batal gara-gara salah tanggal lahir. Disuruh cek berkala, berkala sampai kapan? Udah mau terbang sebentar lagi, sementara kepastian data ga ada. Kirim email dan WA ga ada solusi, ga ada respon, WA chat boot jawabnya ""Maaf, Customer Service kami belum bisa melayani Anda saat ini.Sebagai informasi, Anda juga bisa menghubungi kami di nomor 1500720 atau email helpdesk@kemkes.go.id"" Ditelp tidak ada yg angkat😢 panik bgt ini,"
dish9265,Ini sertifikatnya beda ya ama yg kmrn waktu masih peduli lindungi
yennyyena,Tidak bisa login padahal emai dan no HP terdaftar
mynameishairawilda,akun email sama no email saya hilang gimana cara masuk peduli lindungi
wahyuupraatama,"Woy buat opsi login pakek nik lah,susah amat gua mau cari kerjaan di buat susah gini,nomor hp gue udh mati dan akun gue ga terikat Gmail susah banget sama lu semua,aktifin opsi login pakek nik dong plisssss"
agungfirmansyah170893,Di-update bukan nya makin bagus malah ngebug gimana si 😡 bukan dipermudah malah dipersulit dari semalam tidak bisa login bangsat .
triozikrillah,Blm bisa login pakai no hp dan email min
handayaniariani,"Dh bs msk, pas dicek nama sndri sertifikat ada, nama anak ga ada sertifikatnya"
embun_nadzayn,Kalo tau bakal gk bisa di buka aplikasinya mending gk usah di update
diana.kiimmy,"Saya sudah suntik vaksin 3, tapi gak muncul di sistem dan Tiket Vaksin booster 1 nya hilang, padahal di pedulilindungi sebelumnya sudah ada tiket vaksin booster 1, skrg hilang cuma sampai vaksin 2."
mahar.nuriman,Yg vaksin sertifikat menghilang coba di uninstall dulu terus download ulang.. Sy gtu soalnya Dan alhamdulillah muncul.. emg rada2 emosi sih tpi alhamdulillah muncul juga ..
anty.assagaf,Nah yg nomerx ke blokir ini gimNa cara login nya 😢
dediaprynto,Min saya udh vaksin booster 1 gak masuk2 sertifikatnya ampun
1111ndah,"Saya udah booster kedua tp blm ada sertifikatnya di aplikasi satusehat, pdhl sebelumnya muncul di aplikasi peduli lindunginya, pas update malah ilang."
alyaviolette,Ok. Saya Sudah berhasil semua.
edoysf_,Gaaaaaaa JELASSSSSSSSSSS ... Sertifikat ga bisa? Data belum vaksin
eddie.riyanto,"Waktu mengunduh sertifikat vaksin keluar pesan ""Berhasil Mengunduh"" tapi hasil unduhan tidak ada di gallery. Aplikasi lawak!"
hrs_daruma,gak adaaaaaaaa. Bisa aja.  @ennyindrayanti @dsugiartop @aditbowo_bsp 😢
rhagil_p,"Log in aja ga bisa, ga dapet otp"
marcellorian294,Masih butuh pengembang dan perbaikan lagi min karena susunannya sertifikat vaksinya tidak sesuai🙏🏻
supry579,Tiket boster ke dua hilang
resnihardiyanti94,min kok tiket vaksin booster kedua nya hilang?
prasetiatiemilia,Whaaa akhirnya ketemu... setelah cari2.. dimana sertifikat vaksin 😂 matur thank you ❤️
viramutia_,Unduh sertifikat tapi ngga muncul 2
lillym2018,"Vaccine yang ke 1 dan 2 Ko hilang, cuma ada vaccine yang booster 1 dan 2 😢"
novi_agus88,Vaccine booster 2 ..aku menghilang
b.agung.nugroho,"Udah aku coba, formatnya pdf"
yunitachris,Tiket booster ke 2 ilang
novhamaharanie_nm,"kartu imunisasi anak di aplikasi Satu Sehat kok jd gk muncul itu sertifikat Imunisasi anak saya jd gk ada,gimana nich???"
johanatutupoly,Tidak bisa login pakai email
iwan_guns13,Kalo mau tambah sertifikat vaksin bagaimana caranya
suratman_92,Aku masih punya kertas sertifikat dari yg pertama sampai yg ketiga😄
ganteng0206,Dari sekian banyak yg komentar lebih banyak yg kecewa dengan aplikasinya😂😂
normansyah1989,Lebih bagus jpeg min ae utk mencetak nya
zulfaaqilatunnisa,Gak bisa login min dari kemarin
jack_planetban,Robot
budi.triswanto,"Udah update, tapi NIK saya berubah, udah lapor malah ga d respon. WA mesin yg balas. Harus bagaimana @pedulilindungi.id ???"
dave_andrian,"@pedulilindungi.id gimana dapat vaksin booster I peserta program gotong royong.? Datang ke puskesmas, rumkit, program vaksinasi gratis, semua menolak dan katakan ""tidak ada"""
piemsprima,"Aplikasi saya tiket booster saya hilang tanpa tanggung jawab,emang benar pemerintah utk data vaksin tdk bisa mengelola dgn tanggung Jawab,Ya implementasi gak ada solusi😂"
purwa4075,Peduli lindungi disuruh update malah ga bisa loggin gimana ini?  Data saya hilang semua
rh1995hr,Ajg lah log in aja gk bisa 🗿
yandevitri,"Saya udah berhasil unduh, tapi hasil pdf unduhan sertifikat vaksin 1, 2, boster 1, kenapa nggak muncul pdf nya ?"
lidya_tiatira,Tak bisa login pake no HP/ email min
caravantraveler,Bagaimana cara verifikasi sertifikat booster kedua untuk vaksin covid dari luar negeri di aplikasi satu sehat ? cc bapak @budigsadikin @kemenkes_ri
yandevitri,"di email ke helpdesk@kemkes.go.id , di WA berulang, Tidak ada jawaban"
kurniatrie_03,Tiket dosis 3 masih blm muncul
wnhrlnd,Kaka min bantu perubahan nomor yang sudah hangus ke nomor baru dong 😢 udah komplain perubahan hampir mau jalan 2bulan gak selesai2😢 jadi gak bisa buka apknya gak bisa scan2 🥲🥲 @pedulilindungi.id
vies_shops,Login saja ga bisa ..mental bro....gmn nih aplikasi🔥
iwan6010,Download?.... Masuk aja nggak bisa... 😂😂😂😂
nara.riska,sudah vaksin booster pertama pas setahun yang lalu tapi sertifikat hingga saat ini tidak muncul juga .
muhammad_baharuddin_fadhlillah,Min kok gk ada internet gmn ini
muhammad_baharuddin_fadhlillah,Padahal sinyal saya bagus malah gk bisa buka aplikasi satusehat
yantoshu306,Tambah amburadul sertifikat faksin saya dan anak saya hilang . padahal di pedulilindungi itu semua ada daftarnya cuma punya istri saya aja yang ada
korekcare,Gk bisa login
ci_mah,kalau lupa login akun gmn min
octaviana.yaaa,Ganti nomor aja lamaaaaaaaa elah fck
riniya272018,Kenapa formatnya pdf bukan jpg ...kl pdf setelah didownload ga bisa dibuka di galeri
ekandanoe,"Boro2 download MIN.. masukin no HP aja katanya gak kedaftar, nelp 1 sampe 15 menit baru diangkat, solusinya cuma “ditunggu ya Pak 3-4 jam 😂.wes ngelus dodo 😢"
turqoise82,tdk bs login pd hal no hp n email sm n terdaftar
melda_jn,Kalau tiket vaksin ga muncul gmn min
nyong_leo86,Kenapa tanggal lahir saya bisa berubah setelah di update ke satusehat?
yanuarantofenota,"Minta solusinya, klo nomor waktu daftar peduli lindungi ilang/ga aktif itu gimana ya caranya?"
iosaver,Hape kentang gk bs instal😂😂
ferdi_jave,Udah di unduh kaga nongol nongol di file nya
rizal_akhmad_safari,Syaa gak pernah vaksin dri pertama insyallah sehat.
viardhani,"Ga bisa login, nama tidak sesuai dengan NIK, pdhl di pedulilindungi versi lama bisa.. Gmn ini?"
adifriz,Kartu vaksin saya hilang 1
pancarosandi,Udah bisa
atikahzataamani2301,"Ticket vaksin booster keduanya malah ga ada..sedangkan sebelum di update,udh ada ticket vaksin booster kedua..."
asty_ceria,Riwayat dan tiket vaksin nya ga ada.. gimana ini yaa..
andj_2412,"Di versi sebelumnya ada muncul tiket vaksin ke 4 (booster 2), di versi sekarang malah hilang tiketnya @pedulilindungi.id 😢"
rahayuwiwin91,Kartu imunisasi anak dibagian mana ka? Punya anakku masih ga ada?
djd.2702,Data vaksin saya tidak sesuai
deaaaaaayuw,Udah download bgtu tpi dicari nggk ada alias nggk masuk ke hp
daliea_ramadhan,"Kasian yg benar"" vaksin termasuk saya 😂, nyatanya bikin sertifikat vaksin bisa ga harus suntik😢 uang berbicara 😂 banyak jasa bikin sertifikat vaksin"
apri1077,"Ga muncul sertifikat vaksin saya , udah vaksin 3 kali"
andreyanto.henry,Data vaksin saya yang lama hilang semua
dwiprasetya91,Sertifikat vaksin ke 2  tidak muncul
bidzblack,Setelah pilih menu 'vaksin dan imunisasi' tidak ada menu riwayat vaksin..hadeuh.
waislinwaislin,"Bgmana ni yg nomer hilang dan email lupa,sy sdh lapor ke cs ko g pernah ada jawaban,klw memang g penting dan wajib g masalah sy g pakai,tlong jawabnya bgmana..???"
adi_imron22,sy ga buka aplikasi SATU SEHAT tiap buka mental trs
sfb.erick,"min @pedulilindungi.id knp klo akses webnya via jaringan @telkomsel diblock/""internetbaik""? Kacau x masa' web kemenkes terdeteksi web esek2 sama jaringan @telkomsel cc @telkomsel 🤣🤭😅"
tyasasih_r.wid,Di update ke aplikasi satu sehat malah ngga bisa kebuka 😢
anggraini.liadwi5,@muhammad.chilmi5
gendok28,Luweh min aplikasine ng hp ku gk kenek di buka kok
krisskrisnaa_,Ki pie raso login keee pehh
aku_sukma03,Caranya gimana... Nik yang ada di KTP nik saya... Tpi nama kartu vaksin nama orang lain..... Bahkan saya. Mau vaksin lagi sudah ndak berani... Karena takut nama yang ada dikartu vaksin nama orang lain.... Mau naik kereta pun susah😢
billymsh,Masuknya susah alasannya jaringan kok aneh sih
onacrosh_145,Kok jelek sertifikat nya sekarang
htusadiah31,sertifikat vaksin 1 g 2 anak saya belum masuk satu sehat padahal  sdh 3 hari.sdh di wa tapi jawabannya masih menunggu diemail ngak ada respon😴😒😒
bobby_dallton,Keren sertifikat vaksin nya bagus yang skr 1.2 dan booster 1.lengkap.tinggal booster 2 belum vaksin 😁.
bunda_naufal_fathan_shireen,Nggak bisa diupdate min. Apa harus dihapus dan diinstal ulang?
m85.tanpa_identitas,Min.... aplikasi satu sehat saya ga bisa di buka . Itu kenapa min ?????
marthienathangavrilla,Kalo no hp mati gimana ya ??
triozikrillah,SDH 3 hari
ghandaja,"Min, dl di peduli lindungi sy dpt memasuki org tua usia 80thn dg 1 aplikasi tp skg gimana caranya krn saat ditambahkan datanya terkendala di tgl lahirnya 23 juli 1942 sdgkan pilihan hanya smp thm 1945 ? 😢"
yadi_nopriyadi,@pedulilindungi.id sekarang tidak bisa rubah data yg salah
endahpendahp,"So far, punya ku lancar, masukin no HP langsung dpt kode verifikasi dan sertifikat jg komplit vaksin 1 sampe booster 2.....thank you 😍"
ryanracun,"Mending bayar, duduk, diem, vaksin muncul. Bacot doank, faskes noh urusin"
erryseptiawan,"Punyaku aman jaya, malah aku bisa nambah milik anggota keluarga..."
bang.andri_official,Sertifikat vaksinya kok jadi kayak gitu (bagus yang dulu)
she_mochie,Gmn cara masuk klo email g bisa masuk no hp pun sdh ga terpakai ....masukin lewat ni ga bisa2
arvan.arsandi,kok macet stack ini dihalaman depan aja lo udh ku reset hp ku. masih jg stak
xiao.err_,"Tapi sertifikatku namanya jadi salah Min, itu gimana"
hoirul_fdl,"Aku sudah vaksin 2 TPI sertifikat blum muncul"" juga"
ghofararpul,Punyak ku malah nama tidak sesuai nik
harijantosariowan,Sertifikat disatusehat kayaknya beda dg yg dipeduli lindungi ya kak? Tq
kakangprabu_adityavandra,Lansia dengan usia lebih dari 75 tahun tidak terdaftar karena satusehat defaultnya hanya sampai kelahiran tahun 1945.. Jadi bapak saya dengan usia 90 tahun tidak muncul sertifikat vaksinnya meskipun sudah booster kedua dan di aplikasi lama muncul.. Kenapa Min? Coba cek lagi deh sistem kamu Min! @pedulilindungi.id @kemenkes_ri  @pusdatinkemkes @dtokemkes
serinyayang,"Waktu aplikasi masih ""PeduliLindungi"" saya ""Sudah Dapat Tiket untuk Vaksin Booster kedua"" tapi kenapa di aplikasi ""SATUSEHAT"" ""Tiket untuk Booster kedua Tidak Ada"" ya ??? Tolong bantu info nya min @pedulilindungi.id @kemenkes_ri"
agusendots,"Sertifikasi vaksin tulisan nya gak ada...adanya 4 kolom , tiket vaksin...itu yg diklik"
sarahf1001,Min aku mau proses ganti data no hp akun anak aku biar bsa buka apk kok g beres beres ya?
icha_daffazzamsetiawan,Sertifikat vaksin anak saya yg 1 & 2 mlh ga ada ya min.
adil.anselm,"Ralat, poin nomor 4 tulisan menunya ""Vaksin Dewasa"", deskripsinya baru deh ""riwayat.."" sempet bingung nyarinya..."
lusygsangary,"Mau booster ke 2 pake e tiket gak sih?  Soalnya apdet ke satusehat, etiket booster ke2 nya hilang Min...🥴 gmn nih?"
tashamrth,min @pedulilindungi.id kalau sudah bikin sertifikat vaksin who tp saat di unduh pdf tdk bs terbuka itu knp ya
syahputra188175,Halo satu sehat mobike...saya mengalami gagal buka satu sehat mobile..notifikasi nya tidak ada koneksi internet
pangirahayu,Vaksin anak saya kok ga ada ya ? @pedulilindungi.id
merchandiso.c0m,terimakasih atas informasinya
renoamanda2,"Udah update aplikasi malah gak bisa dibuka, gimana mau login klo aplikasi stuck. Muncul 'kategori notifikasi' tapi hilang sendiri dan ga bisa dibuka. Ada yg sama?"
wind.i4156,Kak mau tanya  kemarin aplikasi peduli lindungi saya kan kehapus ama suami data imunisasi anak hilang trs ya saya udh download satu sehat tpi gtw cara ya pake aplikasi satu sehat mau lihat imunisasi anak
dwinerunner,Customer sevicenya sibuk mulu. Berulanh2 di wa ga ada yg jawab. Minta tolong di bantu:  solusinya: 1. Sertifikat EU Format: tidak bisa di download.2. Sertifijat Format WHO: tidak bisa dibuat. Hanya sampai input no passport ga bisa lanjut lagi.
ril_62,"haloo min sertifikat kok hilang di aplikasi satu sehat ya.., tks"
omahayuna,Ka kmrn pedulilindungi upgrade jadi ke satusehat pas mau login malah akun gak terdaftar trus sy daftar dan gak bisa kenapa ya ka?
athohilman,P
azooela,"Waaah Alhamdulillah baru sj sy berhasil.login untuk akun yg ibu saya dengan menggunakan login email ... Jk menggunakan nomor hp terkendala login bisa dicoba ya bapak, ibu, mas, mbak dengan nomor email yg terdaftar di peduli lindungi, saat ini semua data akun saya dan ibu saya sudah valid dan lengkap, tiket booster ke 2 sy pun sudah ada... Hatur nuhun SATUSEHAT🔥"
